x,y,z,Seconds,Microseconds,,,,
0,0,0,0,672000,,,,
,,,,,,,,
0,0,0,0,672000,,,,
,,,,,,,,
0,0,0,0,672000,,,,
,,,,,,,,
0,0,0,0,672000,,,,
,,,,,,,,
0,0,0,0,672000,,,,
,,,,,,,,
0,0,0,0,672000,,,,
,,,,,,,,
0,0,0,0,672000,,,,
,,,,,,,,
235,16,162,0,688000,,,,
,,,,,,,,
0,0,0,0,688000,,,,
,,,,,,,,
0,0,0,0,688000,,,,
,,,,,,,,
0,0,0,0,688000,,,,
,,,,,,,,
0,0,0,0,688000,,,,
,,,,,,,,
0,0,0,0,688000,,,,
,,,,,,,,
0,0,0,0,688000,,,,
,,,,,,,,
0,0,0,0,704000,,,,
,,,,,,,,
0,0,0,0,704000,,,,
,,,,,,,,
0,0,0,0,704000,,,,
,,,,,,,,
0,0,0,0,704000,,,,
,,,,,,,,
0,0,0,0,704000,,,,
,,,,,,,,
0,0,0,0,704000,,,,
,,,,,,,,
0,0,0,0,704000,,,,
,,,,,,,,
0,0,0,0,719000,,,,
,,,,,,,,
0,0,0,0,719000,,,,
,,,,,,,,
0,0,0,0,719000,,,,
,,,,,,,,
0,0,0,0,719000,,,,
,,,,,,,,
0,0,0,0,719000,,,,
,,,,,,,,
0,0,0,0,719000,,,,
,,,,,,,,
0,0,0,0,719000,,,,
,,,,,,,,
0,0,0,0,719000,,,,
,,,,,,,,
253,251,253,0,735000,,,,
,,,,,,,,
0,0,0,0,735000,,,,
,,,,,,,,
0,0,0,0,735000,,,,
,,,,,,,,
0,0,0,0,735000,,,,
,,,,,,,,
0,0,0,0,735000,,,,
,,,,,,,,
0,0,0,0,735000,,,,
,,,,,,,,
0,0,0,0,750000,,,,
,,,,,,,,
0,0,0,0,750000,,,,
,,,,,,,,
0,0,0,0,750000,,,,
,,,,,,,,
0,0,0,0,750000,,,,
,,,,,,,,
0,0,0,0,750000,,,,
,,,,,,,,
0,0,0,0,750000,,,,
,,,,,,,,
0,0,0,0,750000,,,,
,,,,,,,,
0,0,0,0,750000,,,,
,,,,,,,,
0,0,0,0,766000,,,,
,,,,,,,,
0,0,0,0,766000,,,,
,,,,,,,,
0,0,0,0,766000,,,,
,,,,,,,,
0,0,0,0,766000,,,,
,,,,,,,,
0,0,0,0,766000,,,,
,,,,,,,,
0,0,0,0,766000,,,,
,,,,,,,,
0,0,0,0,766000,,,,
,,,,,,,,
42,231,127,0,782000,,,,
,,,,,,,,
0,0,0,0,782000,,,,
,,,,,,,,
0,0,0,0,782000,,,,
,,,,,,,,
0,0,0,0,782000,,,,
,,,,,,,,
0,0,0,0,782000,,,,
,,,,,,,,
0,0,0,0,782000,,,,
,,,,,,,,
0,0,0,0,782000,,,,
,,,,,,,,
0,0,0,0,782000,,,,
,,,,,,,,
0,0,0,0,782000,,,,
,,,,,,,,
0,0,0,0,797000,,,,
,,,,,,,,
0,0,0,0,797000,,,,
,,,,,,,,
0,0,0,0,797000,,,,
,,,,,,,,
0,0,0,0,797000,,,,
,,,,,,,,
0,0,0,0,797000,,,,
,,,,,,,,
0,0,0,0,797000,,,,
,,,,,,,,
0,0,0,0,797000,,,,
,,,,,,,,
0,0,0,0,797000,,,,
,,,,,,,,
0,0,0,0,813000,,,,
,,,,,,,,
0,0,0,0,813000,,,,
,,,,,,,,
0,0,0,0,813000,,,,
,,,,,,,,
0,0,0,0,813000,,,,
,,,,,,,,
0,0,0,0,813000,,,,
,,,,,,,,
0,0,0,0,813000,,,,
,,,,,,,,
0,0,0,0,813000,,,,
,,,,,,,,
108,236,127,0,813000,,,,
,,,,,,,,
0,0,0,0,829000,,,,
,,,,,,,,
0,0,0,0,829000,,,,
,,,,,,,,
0,0,0,0,829000,,,,
,,,,,,,,
0,0,0,0,829000,,,,
,,,,,,,,
0,0,0,0,829000,,,,
,,,,,,,,
0,0,0,0,829000,,,,
,,,,,,,,
0,0,0,0,829000,,,,
,,,,,,,,
0,0,0,0,829000,,,,
,,,,,,,,
0,0,0,0,829000,,,,
,,,,,,,,
0,0,0,0,844000,,,,
,,,,,,,,
0,0,0,0,844000,,,,
,,,,,,,,
0,0,0,0,844000,,,,
,,,,,,,,
